MacroPlot Name,Monitoring Status,Unit #,Date,TagNo,Status,DBH (cm),DBH (in),>24in,Ht (m),Ht (ft),CrwnRto,CrwnCl,LiCrBHt (m),LiCrBHt (ft),CrFuBHt,CrwnRad (m),CrwnRad (ft),DecayCl,CharHt (m),CharHt (ft),ScorchHt (m),ScorchHt (ft),Crown Scorch %,Comment,Fuel Depth at Base (cm),Fuel Depth at Base (in),Fuel Depth at 1m (cm),Fuel Depth at 1m (in),Crown Torch %,Health Category (1-5),MacroPlotSize,SnagPlotSize,BrkPntDia,SaComment,Species Symbol
Plot_033,PostBurnYear2,H,6/19/21 9:42,235,L,58.4,22.9921384,no,24.3,79.724412,53.1,I,11.4,37.401576,,3,9.84252,,4.1,13.451444,7.6,24.934384,5,,,,,,0,,,,,,PIJE
Plot_033,PostBurnYear2,H,6/19/21 9:42,236,L,81.4,32.0472614,yes,19.2,62.992128,36.5,I,12.2,40.026248,,5.4,17.716536,,4,13.12336,13.4,43.963256,60,,,,,,0,,,,,,ABCO
 Plot048,PostBurnYear1,86,6/17/21 9:16,401,L,43.3,17.0472533,no,16.6,54.461944,19.3,C,13.4,43.963256,,0.75,2.46063,,5,16.4042,15.4,50.524936,70,,,,,,0.5,,,,,,ABCO
 Plot048,PostBurnYear1,86,6/17/21 9:16,402,D,47.5,18.7007975,no,4,13.12336,,,,0,,,,,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot048,PostBurnYear1,86,6/17/21 9:16,409,D,35.3,13.8976453,no,14.7,48.228348,,,,0,,,,,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot048,PostBurnYear1,86,6/17/21 9:16,410,D,38.1,15.0000081,no,14.6,47.900264,,,,0,,,,,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot048,PostBurnYear1,86,6/17/21 9:16,411,L,26.55,10.45276155,no,9.8,32.152232,73.5,I,2.6,8.530184,,1,3.28084,,0,0,9.8,32.152232,70,,,,,,0,,,,,,ABCO
 Plot048,PostBurnYear1,86,6/17/21 9:16,412,L,15.1,5.9448851,no,6.3,20.669292,66.7,I,2.1,6.889764,,1.3,4.265092,,0.7,2.296588,3.8,12.467192,10,,,,,,0,,,,,,ABCO
 Plot048,PreBurnYear1,86,8/6/20 11:17,401,L,41.45,16.31890645,no,16.4,53.805776,56.1,C,7.2,23.622048,,2.25,7.38189,,,0,,0,0,,,,,,0,,,,,,ABCO
 Plot048,PreBurnYear1,86,8/6/20 11:17,402,D,46.5,18.3070965,no,5.6,18.372704,,,,0,,,,2,,0,,0,0,,,,,,0,,,,,,ABCO
