Site_Year,Plot ID,Treatment Unit,Easting,Northing, Cover (%),,,,,Tree Density (trees per acre),,,,,,Basal Area (ft2 per acre),,,,,,,,,,, Fuel Loading (tons per acre),,,,,,Fuel Height (in),,,,Distance to crown (ft) 
,,,,,TREE,SHRUB,HERB,CHEATGRASS,Total Exotic Grass,"Live Conifer (>3""dbh)","Live Hardwood (>3""dbh)",Snag,Sapling,Seedling,Dead Conifer (by DBH),Dead Conifer BAF,Dead Hardwood (by DBH),Dead Hardwood BAF,"Cedar, LIVE","Pinus spp, LIVE",Live Conifer (by DBH),Live Conifer BAF,Live Hardwood (by DBH),Live Hardwood BAF,Total Live Tree (by DBH),Total live BAF,"Fine Fuels (1, 10, 100 hr)",1hr ,10hr,100hr,CWD,Total,Duff,Litter,Duff/Litter,Fuel ,
Laguna_2018,124,19,551676,3636936,34,25,3,0,1.5,100,30,40,0,560,3.38,0,24.23436037,40,10,60,75.02738484,70,37.12375794,30,112.1511428,100,5.994,0.080,1.467,4.447,18.218,24.212,0.69,0.94,1.62,1.78,15.87
Laguna_2018,125,19,551359,3637096,29,2.5,3.5,0,0,80,10,10,0,70.00,0.00,0,16.36845524,20,0,160,81.72686844,160,22.68620549,10,104.4130739,170.000,2.597,0.022,1.466,1.109,133.674,136.27,0.98,1.80,2.78,4.08,18.81014933
Laguna_2018,126,19,551290,3636847,32.5,41.5,1,0,0,40,20,30,140,350.00,0.00,0,26.13009127,10,0,70,49.28164789,70,30.35409966,40,79.63574755,110.000,4.777,0.066,1.354,3.357,13.361,18.14,0.62,2.02,2.63,6.43,17.16972933
Laguna_2018,127,19,551423,3636594,62.5,1,2.5,0,0.5,180,0,0,350,420.00,0.00,10,0,30,0,80,177.0929255,80,0,0,177.0929255,80.000,2.684,0.036,1.258,1.390,18.798,21.48,0.44,1.38,1.82,9.07,12.10265422
Laguna_2020,128,Treatment 1,552604,3635674,36,15,3.5,0,0,60.70,0.00,20.2,121.4,0.0,,,,,,,125.74,,0.00,,125.7,,2.71,0.07,1.53,1.11,0.00,2.71,1.2,2.1,3.3,7.03,29.5
Laguna_2020,129,Treatment 1,552907,3635518,40,40,6.5,0,0,60.70,40.47,20.2,91.1,209.3,,,,,,,137.53,,59.19,,196.7,,0.68,0.12,0.56,0.00,3.36,4.04,2.6,1.2,3.7,6.00,25.0
Laguna_2020,130,Treatment 1,552703,3635561,48,3.5,10.5,0,0,70.82,40.47,10.1,10.1,209.3,,,,,,,116.21,,21.31,,137.5,,1.11,0.00,0.56,0.55,24.51,25.62,0.6,1.8,2.4,8.59,18.8
Laguna_2020,131,Treatment 1,552825,3635690,16,11,3,0,0,30.35,20.23,20.2,10.1,0.0,,,,,,,50.12,,26.46,,76.6,,1.54,0.15,1.40,0.00,10.59,12.13,0.9,2.0,2.9,9.36,13.8
Laguna_2020,132,Treatment 1,552934,3635625,34,23,1.5,0,0,30.35,0.00,0.0,30.4,0.0,,,,,,,92.81,,0.00,,92.8,,3.27,0.08,1.53,1.66,0.00,3.27,0.7,0.6,1.3,3.46,25.0
Laguna_2020,133,Treatment 1,552930,3635689,51,4.5,1,0,0,20.23,40.47,0.0,10.1,139.5,,,,,,,110.79,,54.64,,165.4,,11.03,0.32,2.38,8.33,34.56,45.59,1.8,1.5,3.3,17.54,13.9
Laguna_2020,134,Treatment 2,552944,3635441,61,8.5,8.5,0,0,70.82,20.23,10.1,91.1,558.2,,,,,,,136.92,,25.77,,162.7,,4.43,0.18,1.42,2.83,2.19,6.61,1.8,1.4,3.2,7.83,28.9
Laguna_2020,135,Treatment 2,553054,3635389,41,41,2,0,0,20.23,20.23,20.2,40.5,0.0,,,,,,,88.52,,73.51,,162.0,,1.67,0.11,1.00,0.56,0.00,1.67,1.1,1.3,2.4,9.00,32.7
Laguna_2020,136,Treatment 2,552949,3635306,1.5,80,3,1,1,0.00,0.00,0.0,60.7,0.0,,,,,,,0.00,,0.00,,0.0,,2.25,0.17,0.98,1.11,21.99,24.24,0.4,0.6,1.0,6.21,
Laguna_2020,137,Treatment 2,552809,3635340,24.5,1,20.5,1,1,20.23,20.23,30.4,10.1,69.8,,,,,,,50.27,,35.02,,85.3,,6.52,0.20,1.26,5.05,4.35,10.86,0.3,0.5,0.8,6.79,10.7
Laguna_2020,138,Treatment 2,552825,3635401,33,2.5,8,0,0,50.59,10.12,10.1,10.1,628.0,,,,,,,27.53,,181.07,,208.6,,6.83,0.27,2.66,3.90,2.21,9.03,0.5,0.7,1.2,3.92,4.3
Laguna_2020,139,Treatment 2,552701,3635401,30,10,4.5,0,0,40.47,10.12,10.1,30.4,907.1,,,,,,,117.02,,1.30,,118.3,,3.03,0.25,2.23,0.55,0.00,3.03,1.5,1.0,2.5,59.38,32.9
Laguna_2020,140,Treatment 3,552968,3635072,33,1,9.5,1,1,70.82,0.00,0.0,0.0,697.7,,,,,,,56.36,,0.00,,56.4,,5.13,0.10,3.36,1.67,0.00,5.13,0.6,0.5,1.1,5.21,15.4
Laguna_2020,141,Treatment 3,552953,3634891,38,3,7,1,1,60.70,20.23,0.0,50.6,69.8,,,,,,,64.66,,139.28,,203.9,,1.11,0.13,0.42,0.56,1.05,2.16,1.0,0.8,1.8,4.17,14.9
Laguna_2020,142,Treatment 3,552964,3636126,13.5,8,2,0,0,50.59,30.35,0.0,80.9,209.3,,,,,,,86.89,,20.91,,107.8,,1.88,0.06,1.27,0.55,0.00,1.88,0.9,0.5,1.5,4.09,14.7
Laguna_2020,143,Treatment 3,552871,3635065,25.5,0.5,6.5,0,0,30.35,50.59,20.2,10.1,488.4,,,,,,,26.04,,38.64,,64.7,,2.07,0.40,1.67,0.00,15.44,17.51,1.2,0.9,2.1,6.17,5.8
Laguna_2020,144,Treatment 3,552990,3635000,30,0.5,10,8,8,40.47,10.12,10.1,20.2,0.0,,,,,,,84.28,,12.32,,96.6,,0.97,0.14,0.28,0.56,0.00,0.97,0.6,0.6,1.3,5.17,21.4
Laguna_2020,145,Treatment 3,552865,3635161,42,10,2.5,0,0,80.94,10.12,30.4,121.4,0.0,,,,,,,195.44,,0.62,,196.1,,1.82,0.29,0.42,1.11,2.94,4.76,0.5,0.6,1.1,2.88,31.3
Laguna_2020,146,Treatment 4,553069,3635042,47,2,4,0,0,10.12,30.35,10.1,161.9,1744.3,,,,,,,30.79,,70.89,,101.7,,3.49,0.29,1.53,1.66,0.79,4.28,1.5,0.7,2.3,4.38,8.7
Laguna_2020,147,Treatment 4,553080,3635168,37,5,1.5,0,0,20.23,50.59,0.0,70.8,69.8,,,,,,,38.30,,17.04,,55.3,,0.34,0.34,0.00,0.00,0.00,0.34,0.4,0.4,0.8,3.88,8.1
Laguna_2020,148,Treatment 4,553056,3635100,25,3.5,1,0,0,30.35,50.59,10.1,30.4,628.0,,,,,,,25.32,,110.77,,136.1,,2.92,0.12,2.25,0.56,0.00,2.92,1.2,1.0,2.2,6.96,10.5
Laguna_2020,149,Treatment 4,553135,3635072,45,5.5,2.5,0,0,161.88,40.47,10.1,20.2,348.9,,,,,,,113.49,,53.88,,167.4,,6.83,0.18,0.56,6.09,0.00,6.83,2.0,0.7,2.7,5.71,16.3
Laguna_2020,150,Treatment 4,553159,3634944,32,8,7,6,6,0.00,40.47,10.1,182.1,0.0,,,,,,,0.00,,59.84,,59.8,,1.71,0.18,1.53,0.00,7.99,9.70,0.7,0.5,1.2,4.50,2.6
Laguna_2020,151,Treatment 4,553102,3635224,11,4.5,2.5,0,0,0.00,80.94,0.0,30.4,0.0,,,,,,,0.00,,14.70,,14.7,,2.51,0.12,0.14,2.25,56.92,59.43,1.2,0.6,1.8,7.13,2.8
Laguna_2020,152,Control,553232,3634488,38,1.5,5,1,2,60.70,0.00,10.1,10.1,3209.6,,,,,,,141.47,,0.00,,141.5,,2.69,0.33,1.81,0.55,0.00,2.69,1.5,0.8,2.4,6.08,28.3
Laguna_2020,153,Control,553468,3634471,3,2.5,9,4,4,0.00,0.00,30.4,20.2,0.0,,,,,,,0.00,,0.00,,0.0,,6.26,0.16,1.11,4.98,66.04,72.30,0.6,0.4,1.0,12.38,N/A
Laguna_2020,154,Control,553131,3634459,37,1.5,3,1,1,60.70,10.12,0.0,0.0,69.8,,,,,,,61.87,,70.52,,132.4,,15.41,0.65,11.99,2.78,21.68,37.10,0.6,0.8,1.4,11.08,17.9
Laguna_2020,156,Control,553436,3634220,37,8.5,3,2,2,70.82,91.06,40.5,10.1,0.00,,,,,,,34.07,,122.68,,156.7,,1.95,0.14,1.25,0.55,0.00,1.95,1.6,0.9,2.5,6.68,10.0
Laguna_2020,157,Control,553455,3634344,23,0.5,19.5,1,1,40.47,10.12,0.0,50.6,1535.0,,,,,,,108.79,,16.41,,125.2,,2.77,0.12,0.98,1.67,0.00,2.77,0.3,0.9,1.3,5.00,36.3
Laguna_2020,158,Control,553457,3634418,85,1.5,4,0,0,131.53,60.70,10.1,121.4,348.9,,,,,,,148.36,,209.59,,357.9,,2.92,0.28,1.53,1.11,1.32,4.24,1.3,1.5,2.8,8.83,18.3
