Project,Date,ID,Treatment,Tag #,Status,Species,DBH (cm),Height (m),Heigt to crown (m),Crown class,Crown width,Decay class,Tree health (1-5),Notes,Scorch HT,Bole Char,DBH (ft),Basal Area (sq ft) Indiv.
Laguna Mtn.,2016,109,35Control,551,L,PIJE,53.2,22.8,10.6,CO,11,,1,,,,1.745492,2.392905824
Laguna Mtn.,2016,109,35Control,552,L,PIJE,66.2,22.6,13,CO,10,,1,,,,2.172022,3.705256869
Laguna Mtn.,2016,109,35Control,553,L,PIJE,18.2,7.6,1.8,IN,4,,1,,,,0.597142,0.2800561525
Laguna Mtn.,2016,109,35Control,554,L,PIJE,21.9,8.6,1.6,IN,4,,1,,,,0.718539,0.4054997323
Laguna Mtn.,2016,109,35Control,555,L,PIJE,12.5,4.4,1,IN,2,,1,,,,0.410125,0.1321059469
Laguna Mtn.,2016,109,35Control,556,D,PIJE,50.6,1.5,N/A,N/A,N/A,4,5,,,,1.660186,2.164728205
Laguna Mtn.,2016,109,35Control,557,D,PIJE,11.3,4.8,N/A,N/A,N/A,1,5,,,,0.370753,0.1079590935
Laguna Mtn.,2016,109,35Control,558,L,PIJE,61.9,20.6,8.2,DO,7,,1,,,,2.030939,3.239542189
Laguna Mtn.,2016,109,35Control,559,L,QUKE,59.8,13.8,2.8,CO,9.25,,1,,,,1.962038,3.023463361
Laguna Mtn.,2016,110,35Control,560,L,PIJE,60.7,21.4,16.2,CO,4,,1,,,,1.991567,3.115155457
Laguna Mtn.,2016,110,35Control,561,L,PIJE,45.2,16.2,12,CO,10,,1,,,,1.483012,1.727345495
Laguna Mtn.,2016,110,35Control,562,L,PIJE,45.6,12.6,7.2,CO,6,,2,,,,1.496136,1.758053259
Laguna Mtn.,2016,110,35Control,563,L,PIJE,44,14,6.8,CO,9,,2,,,,1.44364,1.636845524
Laguna Mtn.,2016,110,35Control,564,L,QUCH,17,6.8,0,IN,3,,2,,,,0.55777,0.2443431593
Laguna Mtn.,2016,110,35Control,565,L,QUCH,18.8,6.8,0,IN,3,,2,,,,0.616828,0.2988257655
Laguna Mtn.,2016,110,35Control,566,L,QUCH,17.5,6.8,0,IN,3,,2,,,,0.574175,0.2589276558
Laguna Mtn.,2016,110,35Control,567,L,PIJE,73.1,19.4,7.4,DO,9,,2,,,,2.398411,4.517905015
Laguna Mtn.,2016,110,35Control,568,L,PIJE,11,4.4,1.9,IN,3,,2,,,,0.36091,0.1023028452
Laguna Mtn.,2016,110,35Control,569,L,PIJE,10,3,0.9,IN,2,,1,,,,0.3281,0.08454780598
Laguna Mtn.,2016,110,35Control,570,L,PIJE,22.3,12.2,6.2,IN,4,,2,,,,0.731663,0.4204477844
Laguna Mtn.,2016,111,7Control,51,D,PIJE,26.4,9.6,N/A,N/A,N/A,1,5,,,1,0.866184,0.5892643886
Laguna Mtn.,2016,111,7Control,52,D,PIJE,22.2,9.4,N/A,N/A,N/A,1,5,,,2,0.728382,0.416685407
Laguna Mtn.,2016,111,7Control,53,D,QUKE,75.3,7.4,N/A,N/A,N/A,2,5,,,,2.470593,4.793936692
Laguna Mtn.,2016,111,7Control,54,L,PIJE,24.3,6.2,2.4,IN,3,,1,Has mistletoe,,,0.797283,0.4992463396
Laguna Mtn.,2016,111,7Control,55,L,PIJE,43.1,18,11.2,CO,3,,1,,,,1.414111,1.570568499
Laguna Mtn.,2016,111,7Control,56,L,PICO,46.5,17.2,6.4,CO,6,,1,,,4,1.525665,1.828134935
Laguna Mtn.,2016,112,7Control,41,L,PIJE,35.9,12.6,4.6,CO,5,,1,"looks like 43, cones nearby",,,1.177879,1.089660578
Laguna Mtn.,2016,112,7Control,42,L,PIJE,28.8,11.6,2.8,CO,5,,1,"looks like 43, cones nearby",,,0.944928,0.701273322
Laguna Mtn.,2016,112,7Control,43,L,PIJE,27.4,11.6,3.2,CO,5,,1,has cone in tree,,,0.898994,0.6347511082
Laguna Mtn.,2016,112,7Control,44,L,PICO,36.6,13,4.6,CO,7,,1,,,,1.200846,1.13256859
Laguna Mtn.,2016,112,7Control,45,D,QUKE,50.3,10,N/A,N/A,N/A,2,5,,,,1.650343,2.139135584
Laguna Mtn.,2016,112,7Control,46,L,QUKE,76.7,8.4,3.8,CO,6,,1,,,,2.516527,4.973854423
Laguna Mtn.,2016,112,7Control,47,L,QUKE,80.4,8.8,3,CO,10,,1,,,,2.637924,5.465305455
Laguna Mtn.,2016,112,7Control,48,D,PICO,76.7,16.6,N/A,N/A,N/A,1,5,cone sin tree,,,2.516527,4.973854423
Laguna Mtn.,2016,112,7Control,49,L,PIJE,43.6,16.6,6.6,CO,5,,1,smell and cones in tree,,,1.430516,1.607219973
Laguna Mtn.,2016,112,7Control,50,L,QUKE,53.3,12.8,2,CO,7,,1,,,,1.748773,2.401910165
Laguna Mtn.,2016,113,7Control,64,D,PICO,14.6,3.8,N/A,N/A,N/A,1,5,could be PIJE,,,0.479026,0.1802221032
Laguna Mtn.,2016,113,7Control,65,D,QUKE,82,10.2,N/A,N/A,N/A,2,5,,,,2.69042,5.684994474
Laguna Mtn.,2016,113,7Control,66,D,PICO,13,5,N/A,N/A,N/A,N/R,5,could be PIJE,,,0.42653,0.1428857921
Laguna Mtn.,2016,113,7Control,67,L,QUKE,52.6,6.4,2.5,CO,8,,N/R,,,,1.725806,2.339234877
Laguna Mtn.,2016,113,7Control,68,L,QUKE,16,7,1.5,CO,3,,N/R,,,,0.52496,0.2164423833
Laguna Mtn.,2016,113,7Control,69,L,PICO,19,9.5,1.5,IN,3,N/R,5,"could be PIJE, had PICO cones at base",,,0.62339,0.3052175796
Laguna Mtn.,2016,113,7Control,70,L,PICO,15.1,6.8,1.8,IN,3,,1,"could be PIJE, had PICO cones at base",,,0.495431,0.1927774524
Laguna Mtn.,2016,113,7Control,71,L,PICO,33.9,12.2,6,CO,3,,1,,,,1.112259,0.9716318412
Laguna Mtn.,2016,113,7Control,72,L,PIJE,19.9,7.5,1.5,IN,3.5,,1,cones and smell,,,0.652919,0.3348177665
Laguna Mtn.,2016,113,7Control,73,L,PIJE,23.5,7.6,3,IN,3.5,,1,cones and smell,,,0.771035,0.4669152585
Laguna Mtn.,2016,113,7Control,74,L,PIJE,21.4,8,3,IN,2,,1,cones and smell,,,0.702134,0.3871951323
Laguna Mtn.,2016,113,7Control,75,L,PIJE,18.2,7,2,IN,3,,1,cones and smell,,,0.597142,0.2800561525
Laguna Mtn.,2016,113,7Control,76,L,PIJE,11.3,6.8,1.6,IN,2,,1,"no cones, smells good",,,0.370753,0.1079590935
Laguna Mtn.,2016,113,7Control,77,L,PICO,11.3,5.5,1.6,IN,2,,1,no cones no smell,,,0.370753,0.1079590935
Laguna Mtn.,2016,113,7Control,78,L,PIJE,18.7,5.4,2,IN,2,,1,"no cones, smells good",,,0.613547,0.2956552227
Laguna Mtn.,2016,113,7Control,79,L,QUKE,31.7,10.8,1.5,CO,8,,1,,,,1.040077,0.8496124476
Laguna Mtn.,2016,113,7Control,80,L,QUKE,22.2,10.6,1.8,IN,6,,1,,,,0.728382,0.416685407
Laguna Mtn.,2016,113,7Control,81,L,QUKE,10.7,4,0,IN,4,,1,,,,0.351067,0.09679878307
Laguna Mtn.,2016,113,7Control,82,D,PICO,14.5,5.8,N/A,N/A,N/A,1,5,could be PIJE,,,0.475745,0.1777617621
Laguna Mtn.,2016,113,7Control,83,L,QUKE,11.6,7.8,0,IN,2.5,,1,,,,0.380596,0.1137675277
Laguna Mtn.,2016,113,7Control,84,L,QUKE,13.4,7.8,0,IN,2,,1,,,,0.439654,0.1518140404
Laguna Mtn.,2016,114,7Control,57,D,QUKE,70.9,11,N/A,N/A,N/A,2,5,,,,2.326229,4.250057566
Laguna Mtn.,2016,115,7Control,58,D,QUKE,39.6,8.6,N/A,N/A,N/A,2,5,,,,1.299276,1.325844874
Laguna Mtn.,2016,115,7Control,59,D,QUKE,35.5,8.6,N/A,N/A,N/A,2,5,DBH taken above burl,,,1.164755,1.065513725
Laguna Mtn.,2016,115,7Control,60,L,QUKE,42.5,9.8,2.5,CO,10,,1,,,,1.394425,1.527144746
Laguna Mtn.,2016,115,7Control,61,L,QUKE,40.3,9.8,2.5,CO,12,,1,,,,1.322243,1.373132462
Laguna Mtn.,2016,115,7Control,62,L,QUKE,35.2,9.8,2.5,CO,8,,1,,,,1.154912,1.047581135
Laguna Mtn.,2016,115,7Control,63,L,QUKE,33,9.8,2.5,CO,8,,1,,,,1.08273,0.9207256072
