Project,Site,Date,Plot ID,Burn Severity,Tag #,Status,Species,DBH (cm),Height (m),Heigt to crown (m),Crown class,Crown width,Decay class/Health,Scorch HT,Scorch (%),Torch HT,Torch (%),Bole Char,Resprouting?,DBH (ft),Basal Area (sq ft) Indiv.,Notes
Thomas Fire,Nordoff,2018,BC1,,761,D,QUCH,10.6,5,-,-,-,1,-,-,-,-,-,Y,0.347786,0.0949979148,
Thomas Fire,Nordoff,2018,BC1,,762,D,PSMA,85.6,14,-,-,-,2,-,-,-,-,-,N,2.808536,6.195122117,
Thomas Fire,Nordoff,2018,BC1,,763,D,QUCH,9.4,5.5,-,-,-,1,-,-,-,-,-,Y,0.308414,0.07470644137,
Thomas Fire,Nordoff,2018,BC1,,764,D,QUCH,8.4,4,-,-,-,1,-,-,-,-,-,Y,0.275604,0.0596569319,
Thomas Fire,Nordoff,2018,BC1,,765,D,QUCH,11.1,5.5,-,-,-,1,-,-,-,-,-,Y,0.364191,0.1041713518,
Thomas Fire,Nordoff,2018,BC1,,766,D,QUCH,7.7,5,-,-,-,1,-,-,-,-,-,Y,0.252637,0.05012839417,
Thomas Fire,Nordoff,2018,BC1,,767,D,QUCH,8.9,5,-,-,-,1,-,-,-,-,-,Y,0.292009,0.06697031712,
Thomas Fire,Nordoff,2018,BC1,,768,D,QUCH,10.1,2.5,-,-,-,1,-,-,-,-,-,Y,0.331381,0.08624721688,
Thomas Fire,Nordoff,2018,BC1,,769,D,QUCH,14.7,7.4,-,-,-,1,-,-,-,-,-,Y,0.482307,0.182699354,
Thomas Fire,Nordoff,2018,BC1,,770,D,QUCH,17.6,7.5,-,-,-,1,-,-,-,-,-,Y,0.577456,0.2618952838,
Thomas Fire,Nordoff,2018,BC1,,771,D,QUCH,19.6,7,-,-,-,1,-,-,-,-,-,Y,0.643076,0.3247988515,
Thomas Fire,Nordoff,2018,BC1,,772,D,QUCH,20.1,7,-,-,-,1,-,-,-,-,-,Y,0.659481,0.341581591,
Thomas Fire,Nordoff,2018,BC1,,773,D,QUCH,21.3,7.5,-,-,-,1,-,-,-,-,-,Y,0.698853,0.383584941,
Thomas Fire,Nordoff,2018,BC1,,774,D,QUCH,16.3,6.5,-,-,-,1,-,-,-,-,-,Y,0.534803,0.2246350657,
Thomas Fire,Nordoff,2018,BC1,,775,D,QUCH,16.7,5.7,-,-,-,1,-,-,-,-,-,Y,0.547927,0.2357953761,
Thomas Fire,Nordoff,2018,BC1,,776,D,PSMA,84.3,21.6,-,-,-,1,-,-,-,-,-,N,2.765883,6.008381378,
Thomas Fire,Nordoff,2018,BC1,,777,D,PSMA,72.8,22,-,-,-,1,-,-,-,-,-,N,2.388568,4.480898441,
Thomas Fire,Nordoff,2018,BC1,,778,D,QUCH,8.5,4.3,-,-,-,1,-,-,-,-,-,Y,0.278885,0.06108578982,
Thomas Fire,Dry Lakes,2018,BC10,,434,D,QUCH,10,2.1,,,,3,,,,,,,0.3281,0.08454780598,
Thomas Fire,Dry Lakes,2018,BC10,,435,L,PSMA,100.2,20.5,9,CO,15,1,0,0,0,0,5.5,N,3.287562,8.48863354,
Thomas Fire,Dry Lakes,2018,BC10,,436,L,PSMA,133.8,21,10,CO,10.5,2,4,1,0,0,4,N,4.389978,15.13612024,
Thomas Fire,Dry Lakes,2018,BC10,,437,L,PSMA,32.1,10,2.5,CO,6.2,2,0,0,0,0,1.1,N,1.053201,0.8711890476,
Thomas Fire,Dry Lakes,2018,BC10,,438,L,QUCH,16.05,8,2,CO,4.5,2,1,1,0,0,2,N,0.5266005,0.2177972619,
Thomas Fire,Dry Lakes,2018,BC10,,439,L,QUCH,15.8,8.2,3,CO,4,2,1,2,0,0,0.3,Y,0.518398,0.2110651429,
