Project,Site,Date,X,Y,Status,Species,Tree #,DBH(cm),Height (m),Height to Crown Base,Crown Width,Crown Class,Health/Decay Class,Bole Char (m),Scorch Height (m),Scorch %,Torch Height (m),Torch %,scorch + torch,percent green,DBH (ft),Basal Area (sq ft) Indiv.,Notes
Thomas Fire,Dry Lakes,2018,292480,3824996,D,PIPO,447,27,7.2,,,,1,,,,,,0.0,,0.88587,0.6163535056,
Thomas Fire,Dry Lakes,2018,292480,3825006,D,PIPO,448,7.7,3.8,,,,3,,,,,,0.0,,0.252637,0.05012839417,
Thomas Fire,Dry Lakes,2018,292480,3825007,D,PIPO,449,14.6,5.7,,,,1,,,,,,0.0,,0.479026,0.1802221032,
Thomas Fire,Dry Lakes,2018,292479,3825010,D,PIPO,450,14.9,5.5,,,,1,,,,,,0.0,,0.488869,0.1877045841,
Thomas Fire,Dry Lakes,2018,292479,3825008,D,PIPO,451,23.9,8.4,,,,1,,,,,,0.0,,0.784159,0.4829455226,
Thomas Fire,Dry Lakes,2018,292478,3825011,D,PIPO,452,4,2.2,,,,2,,,,,,0.0,,0.13124,0.01352764896,
Thomas Fire,Dry Lakes,2018,292475,3825008,D,PIPO,453,7.7,2.3,,,,1,,,,,,0.0,,0.252637,0.05012839417,
Thomas Fire,Dry Lakes,2018,292450,3825000,D,PIPO,454,68.25,20.8,,,,1,,,,,,0.0,,2.2392825,3.938289645,
Thomas Fire,Dry Lakes,2018,292457,3825013,D,PIPO,455,7.6,3.9,,,,2,,,,,,0.0,,0.249356,0.04883481274,
Thomas Fire,Dry Lakes,2018,292441,3825021,D,PIPO,456,100.9,18,,,,1,,,,,,0.0,,3.310529,8.607651486,
Thomas Fire,Dry Lakes,2018,292543,3825093,D,PIPO,457,48.1,11.8,,,,1,,,,,,0.0,,1.578161,1.956106494,
Thomas Fire,Dry Lakes,2018,292425,3825053,D,PIPO,458,14.1,5,,,,2,,,,,,0.0,,0.462621,0.1680894931,
Thomas Fire,Dry Lakes,2018,292425,3825053,D,PIPO,459,10.2,4.2,,,,2,,,,,,0.0,,0.334662,0.08796353735,
Thomas Fire,Dry Lakes,2018,292425,3825049,D,PIPO,460,21.52,6.4,,,,1,,,,,,0.0,,0.7060712,0.3915496825,
Thomas Fire,Dry Lakes,2018,292424,3825044,D,PIPO,461,26.4,6.5,,,,1,,,,,,0.0,,0.866184,0.5892643886,
Thomas Fire,Dry Lakes,2018,292409,3825022,D,PIPO,462,20.5,5,,,,2,,,,,,0.0,,0.672605,0.3553121546,
Thomas Fire,Dry Lakes,2018,292398,3825023,D,PIPO,463,24.43,7.1,,,,2,,,,,,0.0,,0.8015483,0.5046023585,
Thomas Fire,Dry Lakes,2018,292280,3825058,D,PIPO,464,60.3,17.8,,,,1,,,,,,0.0,,1.978443,3.074234319,
Thomas Fire,Dry Lakes,2018,292280,3825031,D,PIPO,465,12.15,3.3,,,,2,,,,,,0.0,,0.3986415,0.1248115849,
Thomas Fire,Dry Lakes,2018,292214,3824973,D,PIPO,466,4.3,2.1,,,,2,,,,,,0.0,,0.141083,0.01563288933,
Thomas Fire,Dry Lakes,2018,292152,3824938,L,PIPO,467,41.2,27.6,24,10,CO,4,20,21,75,0,0,75.0,25.0,1.351772,1.435148278,
Thomas Fire,Dry Lakes,2018,292147,3824924,D,PIPO,468,54.4,20.1,,,,1,,,,,,0.0,,1.784864,2.502073951,
Thomas Fire,Dry Lakes,2018,292146,3824930,L,PIPO,469,107.5,26.3,23,8.5,CO,4,19,23,90,0,0,90.0,10.0,3.527075,9.770555829,
Thomas Fire,Dry Lakes,2018,292140,3824930,D,PIPO,470,79.6,26,,,,1,,,,,,0.0,,2.611676,5.357084264,
Thomas Fire,Dry Lakes,2018,292148,3824935,L,PIPO,471,63.5,27.4,22.5,4,CO,4,20,24,90,0,0,90.0,10.0,2.083435,3.409178907,
,,,,,,,,,,,,,,18.4,18.3125,51.3,6.0625,28.1,,20.6,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,0,0,
