Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,11814be3-77a6-47b6-8deb-de4bea486b09,L,TO,,2,,,,,,-2147483648,PIJE
-2147483647,35344058-051f-4a17-a61e-06c1db5a823c,L,TO,,4,,,,,,-2147483647,ABCO
-2147483646,11814be3-77a6-47b6-8deb-de4bea486b09,L,SA,,1,,,,,,-2147483646,PIJE
-2147483645,6c6f8814-49f7-468c-8b5f-e6d0c01215a6,L,TL,,5,,,,,,-2147483645,ARPA6
-2147483644,6c6f8814-49f7-468c-8b5f-e6d0c01215a6,L,MD,,5,,,,,,-2147483644,ARPA6
-2147483643,f04225fb-374f-48e5-80c1-caef1d121926,L,MD,,2,,,,,,-2147483643,SYRO
-2147483642,f04225fb-374f-48e5-80c1-caef1d121926,L,LW,,0.5,,,,,,-2147483642,SYRO
-2147483641,11814be3-77a6-47b6-8deb-de4bea486b09,L,SE,,0.5,,,,,,-2147483641,PIJE
-2147483640,2d19ee3a-1a2e-4fe4-8cbd-95a024a0e627,L,NA,,0.5,,,,,,-2147483640,PECA3
-2147483639,0b2e8fe9-8309-4ab4-807f-f1db3a10ecf5,L,NA,,0.5,,,,,,-2147483639,MONAR2
-2147483638,989b6064-4755-4e1c-baca-fe5cf3ad7a1b,L,NA,,0.5,,,,,,-2147483638,STIPA
