Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,11814be3-77a6-47b6-8deb-de4bea486b09,L,TO,,3,,,,,,-2147483648,PIJE
-2147483647,35344058-051f-4a17-a61e-06c1db5a823c,L,TO,,6,,,,,,-2147483647,ABCO
-2147483646,35344058-051f-4a17-a61e-06c1db5a823c,D,TO,,2,,,,,,-2147483646,ABCO
-2147483645,f04225fb-374f-48e5-80c1-caef1d121926,L,LW,,2,,,,,,-2147483645,SYRO
-2147483644,c7392581-5954-4ea3-b9eb-907a9976655b,L,LW,,2.5,,,,,,-2147483644,CECO
-2147483643,35344058-051f-4a17-a61e-06c1db5a823c,L,SE,,0.5,,,,,,-2147483643,ABCO
-2147483642,11814be3-77a6-47b6-8deb-de4bea486b09,L,SE,,0.5,,,,,,-2147483642,PIJE
-2147483641,bdd2a428-7bfa-4998-bc21-138b9c0d37ff,L,LW,,0.5,,,,,,-2147483641,CHSE11
-2147483640,0b2e8fe9-8309-4ab4-807f-f1db3a10ecf5,L,NA,,0.5,,,,,,-2147483640,MONAR2
-2147483639,848849c8-75d9-4942-b591-68143a1be6f2,L,NA,,0.5,,,,,,-2147483639,ELMU3
-2147483638,2d19ee3a-1a2e-4fe4-8cbd-95a024a0e627,L,NA,,0.5,,,,,,-2147483638,PECA3
