IsVerified,QTR,SubFrac,TagNo,Spp_GUID,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
FALSE,,1,427,11814be3-77a6-47b6-8deb-de4bea486b09,L,41.1,15,72,C,4.2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIJE
FALSE,,1,428,11814be3-77a6-47b6-8deb-de4bea486b09,L,44.9,18,87.2,C,2.3,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIJE
FALSE,,1,429,11814be3-77a6-47b6-8deb-de4bea486b09,L,45.8,19.6,79.1,C,4.1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIJE
FALSE,,1,430,11814be3-77a6-47b6-8deb-de4bea486b09,L,12.9,3.2,84.4,I,0.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIJE
