Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,11814be3-77a6-47b6-8deb-de4bea486b09,L,TO,,35,,,,,,-2147483648,PIJE
-2147483647,35344058-051f-4a17-a61e-06c1db5a823c,D,SA,,0.5,,,,,,-2147483647,ABCO
-2147483646,11814be3-77a6-47b6-8deb-de4bea486b09,L,SE,,0.5,,,,,,-2147483646,PIJE
-2147483645,35344058-051f-4a17-a61e-06c1db5a823c,L,TO,,0.5,,,,,,-2147483645,ABCO
-2147483644,35344058-051f-4a17-a61e-06c1db5a823c,L,SE,,0.5,,,,,,-2147483644,ABCO
-2147483643,6c6f8814-49f7-468c-8b5f-e6d0c01215a6,D,MD,,2,,,,,,-2147483643,ARPA6
-2147483642,c7392581-5954-4ea3-b9eb-907a9976655b,D,MD,,0.5,,,,,,-2147483642,CECO
-2147483641,c7392581-5954-4ea3-b9eb-907a9976655b,L,LW,,1,,,,,,-2147483641,CECO
-2147483640,6c6f8814-49f7-468c-8b5f-e6d0c01215a6,L,LW,,0.5,,,,,,-2147483640,ARPA6
-2147483639,989b6064-4755-4e1c-baca-fe5cf3ad7a1b,L,NA,,0.5,,,,,,-2147483639,STIPA
-2147483638,2d19ee3a-1a2e-4fe4-8cbd-95a024a0e627,L,NA,,0.5,,,,,,-2147483638,PECA3
-2147483637,da829abe-94ad-4825-8680-4fa01b1dc7b8,L,NA,,0.5,,,,,,-2147483637,GAYOP
