Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,35344058-051f-4a17-a61e-06c1db5a823c,L,TO,,8,,,,,,-2147483648,ABCO
-2147483647,16a4080d-d81f-47e3-9e0d-664a45d61b23,L,TL,,8,,,,,,-2147483647,SALIX
-2147483646,35344058-051f-4a17-a61e-06c1db5a823c,L,SA,,0.5,,,,,,-2147483646,ABCO
-2147483645,11814be3-77a6-47b6-8deb-de4bea486b09,L,SE,,0.5,,,,,,-2147483645,PIJE
-2147483644,c7392581-5954-4ea3-b9eb-907a9976655b,L,MD,,1.5,,,,,,-2147483644,CECO
-2147483643,c7392581-5954-4ea3-b9eb-907a9976655b,L,LW,,2,,,,,,-2147483643,CECO
-2147483642,35344058-051f-4a17-a61e-06c1db5a823c,D,TO,,0.5,,,,,,-2147483642,ABCO
-2147483641,35344058-051f-4a17-a61e-06c1db5a823c,L,SE,,0.5,,,,,,-2147483641,ABCO
