FOREST,RANGER DISTRICT,Site_Year,Plot ID,Plot Size (acres),Treatment Unit,Easting,Northing, Cover (%) Live,,,,Tree Density (trees per acre),,,,,Basal Area (ft2 per acre),,,,,,,,,,Fuels (tons per acre),,,,,Fuel Height (in.),,Distance to crown (ft) 
,,,,,,,,TREE,SHRUB,HERB,BROMUS SP.,"Live Conifer (>3""dbh)","Live Hardwood (>3""dbh)",Snag ,Sapling,Seedling,Dead Conifer (by DBH),Dead Conifer BAF,Dead Hardwood (by DBH),Dead Hardwood BAF,Live Conifer (by DBH),Live Conifer BAF,Live Hardwood (by DBH),Live Hardwood BAF,Total Live Tree (by DBH),Total live BAF,1hr ,10hr,100hr,CWD,Total,Duff/Litter,Fuel ,
San Bernarndino,,BluffMesa_2016,106 Control,1//10,Control,504358,3785840,37.5,41,1,0,200.00,0.00,0.00,0.00,70.00,0.00,0,0,0,199.80,300,0,0,199.8035862,300,0.04442940063,0.5678708241,0,0,0.6123002247,2.263779528,4.035433071,10.23
San Bernarndino,,BluffMesa_2018,24,1//10,Unit H,502045,3786845,18.1,1.5,1,0,80.00,0.00,0.00,0.00,0.00,0.00,30,0,0,161.22,120,0,0,161.2217599,120,0.0666417061,1.330179371,1.113958676,0,2.510779754,0.9596456693,0.9330708661,17.59
San Bernarndino,,BluffMesa_2018,25,1//10,Unit H,502018,3786660,8.2,1.5,1,0,40.00,0.00,0.00,0.00,280.00,0.00,0,0,0,44.61,80,0,0,44.60975055,80,0.1397133269,1.363069512,1.718926044,2.799919891,6.021628774,1.25492126,1.696358268,10.66
San Bernarndino,,BluffMesa_2018,26,1//10,Unit H,502155,3786746,5.2,8,0.5,0,20.00,0.00,30.00,0.00,0.00,43.57,40,0,0,48.00,40,0,0,47.99589809,40,0.05187260516,2.122276636,4.793152426,30.37398793,37.3412896,2.829724409,1.687992126,12.80
San Bernarndino,,BluffMesa_2018,27,1//10,Unit H,502360,3786721,17.5,3,1,0,30.00,0.00,0.00,70.00,0.00,0.00,20,0,0,145.93,150,0,0,145.9315969,150,0.036425941,2.862289209,2.498569599,1.773525655,7.170810403,1.87007874,1.597440945,44.62
San Bernarndino,,BluffMesa_2018,28,1//10,Unit G,502182,3786400,10,31,1.1,0,40.00,0.00,10.00,0.00,0.00,77.26,20,0,0,61.45,60,0,0,61.45358159,60,0.3028643497,2.730008957,9.059610342,25.81188843,37.90437208,2.682086614,4.220964567,10.91
San Bernarndino,,BluffMesa_2018,29,1//10,Unit G,502161,3786270,25,11.1,2,0,50.00,0.00,0.00,0.00,0.00,0.00,10,0,0,220.10,80,0,0,220.095955,80,0.1797095466,5.056977931,6.436984536,4.186740546,15.86041256,2.952755906,1.934547244,22.44
San Bernarndino,,BluffMesa_2018,30,1//10,Unit G,502225,3786102,20.1,40,0.5,0,50.00,0.00,0.00,0.00,0.00,0.00,20,0,0,96.49,110,0,0,96.48618353,110,0.370576374,2.5912931,3.062702464,57.51177767,63.53634961,2.460629921,3.234251969,16.54
San Bernarndino,,BluffMesa_2018,31,1//10,Unit G,502305,3786262,5,5.2,3.3,0,20.00,0.00,20.00,0.00,70.00,84.81,20,0,0,25.00,50,0,0,24.99834793,50,0.1073331518,0.7770475664,5.326455591,100.2539407,106.464777,0.344488189,2.029035433,11.81
San Bernarndino,,BluffMesa_2018,32,1//10,Unit G,502428,3786280,27,18,0.5,0,60.00,0.00,0.00,0.00,0.00,0.00,0,0,0,273.61,130,0,0,273.6134699,130,0.1633537428,0.8537475424,2.886067248,34.02221926,37.9253878,2.657480315,5.428641732,24.22
San Bernarndino,,BluffMesa_2018,33,1//10,Unit H,502518,3786610,22,3.5,1.8,0,40.00,0.00,10.00,0.00,0.00,101.55,30,0,0,215.76,120,0,0,215.7559476,120,0.04027626169,1.953834,5.832446427,52.17215516,59.99871185,1.427165354,2.114665354,33.63
San Bernarndino,,BluffMesa_2020,24,1//10,Unit H,502045,3786845,24.5,1.5,1,0,80.94,0.00,0.00,0.00,418.64,0.00,0,0.0,0,165.05,120,0,0,165.1,120,0.12,0.84,0.00,0.00,0.96,0.7,0.9596461875,18.91
San Bernarndino,,BluffMesa_2020,25,1//10,Unit H,502018,3786660,10,1,1,0,30.35,0.00,10.12,0.00,1325.70,0.50,10,0.0,0,41.42,90,0,0,41.4,90,0.00,0.57,0.55,2.06,3.18,0.8,0.4119096713,13.56
San Bernarndino,,BluffMesa_2020,26,1//10,Unit H,502155,3786746,6,7,0.5,0,20.23,0.00,10.12,0.00,139.55,0.00,30,0.0,0,48.18,30,0,0,48.2,30,0.03,1.67,2.50,17.18,21.38,1.3,1.419292105,7.87
