SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,117,L,58.85,12,2.2,C,5,,FALSE,,70,,,,,,,,,,,,,,0.6,3.8,3,,,,,,,,,,,,,,,QUKE
1,118,L,51.15,9.6,5.2,I,3,,FALSE,,70,,,,,,,,,,,,,,0.8,2,20,,,,,,,,,,,,,,,QUKE
1,119,D,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIJE
1,120,L,43.6,15,8,D,3,,FALSE,,90,,,,,,,,,,,,,,3.4,0,0,,,,,,,,,,,,,,,PIJE
1,122,L,45.6,16.4,9.8,C,2,,FALSE,,100,,,,,,,,,,,,,,5.2,8.8,5,,,,,,,,,,,,,,,PIJE
1,123,L,47.55,11.6,4,I,2.5,,FALSE,,80,,,,,,,,,,,,,,0.68,4,8,,,,,,,,,,,,,,,QUKE
1,124,D,54.65,2,,,,1,FALSE,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,QUKE
1,125,D,22.6,3.9,,,,3,FALSE,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,PIJE
1,126,L,46.9,10.8,4.5,I,3,,FALSE,,90,,,,,,,,,,,,,,0.2,5.8,5,,,,,,,,,,,,,,,QUKE
