SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,637,L,30.7,16.2,7.8,C,2.4,,FALSE,,70,,,,,,,,,,,,,,0.8,9.8,30,,,,,,,,,,,,,,,PIJE
1,638,L,51.6,22,12.2,C,2.9,,FALSE,,80,,,,,,,,,,,,,,1.7,,10,,,,,,,,,,,,,,,PIJE
1,648,L,45.55,15.4,10,I,1.75,,FALSE,,60,,,,,,,,,,,,,,2.1,11.4,40,,,,,,,,,,,,,,,PIJE
1,640,L,46.1,20.8,13,C,2.75,,FALSE,,80,,,,,,,,,,,,,,2.2,11.4,10,,,,,,,,,,,,,,,PIJE
1,641,L,56.4,25,14.4,C,3.1,,FALSE,,100,,,,,,,,,,,,,,4.2,7.8,2,,,,,,,,,,,,,,,PIJE
1,642,D,79,14.2,,,,5,FALSE,,,,,,,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,PIJE
1,643,L,23.5,11.6,7.5,I,0.9,,FALSE,,80,,,,,,,,,,,,,,1.4,7.5,20,,,,,,,,,,,,,,,PIJE
1,644,L,22.45,7.6,2.4,I,2,,FALSE,,10,,,,,,,,,,,,,,0.15,7.4,80,,,,,,,,,,,,,,,QUKE
1,645,L,27.9,8.2,2.4,I,3.1,,FALSE,,70,,,,,,,,,,,,,,0.15,4.5,20,,,,,,,,,,,,,,,QUKE
1,646,L,29.85,12.8,4,I,3.5,,FALSE,,80,,,,,,,,,,,,,,0.2,4.5,2,,,,,,,,,,,,,,,QUKE
1,647,L,33.1,12.3,3.4,I,3.5,,FALSE,,80,,,,,,,,,,,,,,0,2.4,5,,,,,,,,,,,,,,,QUKE
1,649,L,45.75,20.2,9,C,2.75,,FALSE,,100,,,,,,,,,,,,,,1.8,6.2,1,,,,,,,,,,,,,,,PIJE
