SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,2,L,19.8,8,1.9,C,2.5,,FALSE,,100,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,QUKE
1,3,L,11.3,6.5,1.8,I,1.5,,FALSE,,100,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,QUKE
1,4,L,10.15,6.4,2,I,1.5,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,6,L,16.5,8.5,1.8,C,1.3,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,7,L,12.1,5.7,4,S,0.75,,FALSE,,70,,,,,,,,,,,,,,0,4,30,,,,,,,,,,,,,,,PIJE
1,8,L,101.3,6.5,1.4,C,6,,FALSE,,70,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,QUKE
1,9,L,66,10.6,3,C,3.25,,FALSE,,50,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,QUKE
1,11,L,8.9,3.9,1.5,S,1.25,,FALSE,,80,,,,,,,,,,,,,,1.04,1.5,20,,,,,,,,,,,,,,,PIJE
1,12,L,13,7.3,1.7,I,2.5,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,13,L,8.25,6.5,1.3,I,1.75,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,14,L,11.35,7.4,1.4,I,2.25,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,15,L,18.2,7.4,0.5,C,3.5,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,16,D,42.6,7.6,,,,2,FALSE,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,PIJE
1,17,L,18.2,8.2,1.9,C,2.5,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,18,L,8.2,3.3,1.1,S,1.5,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,19,L,15.6,6.3,1.4,I,1.5,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,20,L,14.85,7.4,1,C,1.75,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
