SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,51,D,61.5,2.5,,,,5,FALSE,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,QUKE
1,52,L,59.9,16.6,0.5,C,3.5,,FALSE,,100,,,,,,,,,,,,,,1.35,2.5,3,,,,,,,,,,,,,,,QUKE
1,53,L,13.6,7,0.4,I,2.75,,FALSE,,100,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,QUKE
1,56,L,46.6,10.5,0.3,I,6,,FALSE,,90,,,,,,,,,,,,,,0,1.5,5,,,,,,,,,,,,,,,QUKE
1,59,L,40.2,13.2,0.5,C,4.5,,FALSE,,100,,,,,,,,,,,,,,0,3,5,,,,,,,,,,,,,,,QUKE
1,60,L,44.65,12.2,1,C,4.75,,FALSE,,90,,,,,,,,,,,,,,0,6,10,,,,,,,,,,,,,,,QUKE
1,61,D,21.25,7.6,,,,1,FALSE,,,,,,,,,,,,,,,,0.5,7.6,95,,,,,,,,,,,,,,,PIJE
1,62,L,14.05,6.5,6,S,0.5,,FALSE,,10,,,,,,,,,,,,,,0,6,90,,,,,,,,,,,,,,,PIJE
