SubFrac,TagNo,Status,Spp_GUID,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,Index,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Index,Species
1,76,D,a7bf19df-35ed-4691-8ca5-4e4e2a426665,19.35,6.2,,,,1,-2147483648,False,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,-2147483648,QUKE
1,77,L,a7bf19df-35ed-4691-8ca5-4e4e2a426665,63.5,11.2,0,C,3.5,,-2147483647,False,,50,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,-2147483647,QUKE
1,79,L,50b2af91-9399-4dda-82e5-6eb0f20b7b96,30.7,7.9,1.7,I,3,,-2147483646,False,,70,,,,,,,,,,,,,,0.8,1.5,2,,,,,,,,,,,,,,,-2147483646,PIJE
1,80,L,a7bf19df-35ed-4691-8ca5-4e4e2a426665,12.8,6.5,0.2,I,2,,-2147483645,False,,100,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,-2147483645,QUKE
1,81,L,a7bf19df-35ed-4691-8ca5-4e4e2a426665,12.1,6.6,1.3,I,1.5,,-2147483644,False,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-2147483644,QUKE
1,83,L,a7bf19df-35ed-4691-8ca5-4e4e2a426665,13.7,6.4,1,I,2.5,,-2147483643,False,,100,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,-2147483643,QUKE
1,84,L,50b2af91-9399-4dda-82e5-6eb0f20b7b96,35.5,14,5,C,1.5,,-2147483642,False,,80,,,,,,,,,,,,,,0.63,2.9,10,,,,,,,,,,,,,,,-2147483642,PIJE
