SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,41,D,39.85,8.6,,,,1,FALSE,,,,,,,,,,,,,,,,1.11,10,5,,,,,,,,,,,,,,,QUKE
1,42,L,73.6,6.8,2.2,I,5,,FALSE,,30,,,,,,,,,,,,,,4,4,20,,,,,,,,,,,,,,,QUKE
1,45,L,22.95,7.6,1.6,S,1,,FALSE,,100,,,,,,,,,,,,,,0.77,0,0,,,,,,,,,,,,,,,PIJE
1,46,L,34.2,10.5,1.9,C,3.75,,FALSE,,90,,,,,,,,,,,,,,0,3,5,,,,,,,,,,,,,,,QUKE
1,47,L,41.65,12.2,1.9,C,4.5,,FALSE,,90,,,,,,,,,,,,,,0,4,5,,,,,,,,,,,,,,,QUKE
1,48,L,34.3,10,2.1,I,2.25,,FALSE,,80,,,,,,,,,,,,,,0,10,10,,,,,,,,,,,,,,,QUKE
1,49,L,56.4,14,5,C,5,,FALSE,,80,,,,,,,,,,,,,,0,7,5,,,,,,,,,,,,,,,QUKE
1,50,L,63.35,13.7,3,C,5.2,,FALSE,,80,,,,,,,,,,,,,,0,7.2,5,,,,,,,,,,,,,,,QUKE
