SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,533,D,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUKE
1,534,D,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIJE
1,535,L,46,10.2,2,I,2.85,,FALSE,,50,,,,,,,,,,,,,,0,5,15,,,,,,,,,,,,,,,QUKE
1,536,L,49.9,9.8,4.5,I,3.75,,FALSE,,70,,,,,,,,,,,,,,0,6,5,,,,,,,,,,,,,,,QUKE
1,537,L,40.1,13.8,5.5,C,2,,FALSE,,80,,,,,,,,,,,,,,4,6.4,15,,,,,,,,,,,,,,,PIJE
1,538,L,11.55,6.2,3.2,I,0.75,,FALSE,,50,,,,,,,,,,,,,,0,5.7,50,,,,,,,,,,,,,,,QUKE
1,539,L,12.8,7.8,4.4,I,0.45,,FALSE,,20,,,,,,,,,,,,,,0,7,80,,,,,,,,,,,,,,,QUKE
1,540,D,6.85,3.8,,,,1,FALSE,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,541,D,21.4,9.2,,,,1,FALSE,,,,,,,,,,,,,,,,8.2,9.2,100,,,,,,,,,,,,,,,PIJE
1,543,L,32,13,5,C,2.05,,FALSE,,60,,,,,,,,,,,,,,3.2,4.8,30,,,,,,,,,,,,,,,PIJE
