SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,545,L,61.85,23,14,C,3,,FALSE,,100,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,PIJE
1,547,D,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gone,,,,QUKE
1,551,L,77.05,28.4,13.5,D,4,,FALSE,,100,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,PIJE
1,552,D,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gone,,,,PIJE
1,554,L,43.8,22,10,C,1.25,,FALSE,,90,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,PIJE
1,555,L,52.85,24,12,C,1.75,,FALSE,,100,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,PIJE
1,556,L,60.4,24.8,11.2,C,2.5,,FALSE,,90,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,PIJE
1,557,L,17.8,8.6,7.2,S,0.9,,FALSE,,20,,,,,,,,,,,,,,3.4,7.2,40,,,,,,,,,,,,,,,PIJE
1,558,D,14.55,7.8,,,,2,FALSE,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,PIJE
1,562,L,53.9,23,15,C,2.25,,FALSE,,100,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,PIJE
1,563,L,20.5,10.2,6.2,S,2,,FALSE,,40,,,,,,,,,,,,,,2.4,6,20,,,,,,,,,,,,,,,PIJE
1,565,L,8.75,5.8,2.3,S,2.05,,FALSE,,60,,,,,,,,,,,,,,0.3,4.5,40,,,,,,,,,,,,,,,QUKE
