SubFrac,TagNo,Status,Spp_GUID,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,Index,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Index,Species
1,65,L,50b2af91-9399-4dda-82e5-6eb0f20b7b96,28.25,9.6,3.9,I,2,,-2147483648,False,,90,,,,,,,,,,,,,,2.4,3.8,10,,,,,,,,,,,,,,,-2147483648,PIJE
1,66,L,a7bf19df-35ed-4691-8ca5-4e4e2a426665,61.7,10.7,1.4,I,4.25,,-2147483647,False,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-2147483647,QUKE
1,67,L,a7bf19df-35ed-4691-8ca5-4e4e2a426665,72.75,18.5,1.7,D,4.5,,-2147483646,False,,80,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-2147483646,QUKE
1,68,D,a7bf19df-35ed-4691-8ca5-4e4e2a426665,,,,,,,-2147483645,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chopped down. Gone.,,,,-2147483645,QUKE
1,72,L,a7bf19df-35ed-4691-8ca5-4e4e2a426665,40.6,9,0.1,I,4.1,,-2147483644,False,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,-2147483644,QUKE
1,74,L,50b2af91-9399-4dda-82e5-6eb0f20b7b96,41.4,14.9,5.6,C,3,,-2147483643,False,,100,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,-2147483643,PIJE
