SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,514,L,28.8,12.4,5,I,2.1,,FALSE,,80,,,,,,,,,,,,,,1.5,4.2,20,,,,,,,,,,,,,,,PIJE
1,515,L,12.2,5.6,0.8,I,1.5,,FALSE,,80,,,,,,,,,,,,,,0.15,1,2,,,,,,,,,,,,,,,PIJE
1,516,L,52.5,19,9.6,C,2.75,,FALSE,,80,,,,,,,,,,,,,,1.2,0,0,,,,,,,,,,,,,,,PIJE
1,517,L,11.55,5.5,2.5,S,1,,FALSE,,40,,,,,,,,,,,,,,0.5,3.2,30,,,,,,,,,,,,,,,PIJE
1,518,L,19,9.9,3.6,I,1.55,,FALSE,,95,,,,,,,,,,,,,,0.3,1.5,0.5,,,,,,,,,,,,,,,PIJE
1,519,L,45.6,19,7.5,C,2.25,,FALSE,,80,,,,,,,,,,,,,,2.4,7,5,,,,,,,,,,,,,,,PIJE
1,520,L,19.45,12.4,6,I,1.75,,FALSE,,70,,,,,,,,,,,,,,1.4,0,0,,,,,,,,,,,,,,,PIJE
