SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,701,D,60.95,14.6,,,,3,FALSE,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,PIJE
1,702,D,43.4,17.6,,,,2,FALSE,,,,,,,,,,,,,,,,8.8,,,,,,,,,,,,,New Tag 970,,,,PIJE
1,703,D,41.15,16.2,,,,1,FALSE,,,,,,,,,,,,,,,,5,16.2,100,,,,,,,,,,,,,,,PIJE
1,704,D,56.3,20.4,,,,2,FALSE,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,PIJE
1,705,L,64,20.5,5.7,C,3,,FALSE,,100,,,,,,,,,,,,,,0.4,5.6,3,,,,,,,,,,,,,,,PIJE
1,707,L,47.1,9.8,1,I,1.62,,FALSE,,60,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,708,L,43.3,8.6,0.9,I,2.5,,FALSE,,80,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
