SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,22,L,42.55,6.4,4,I,6.5,,FALSE,,60,,,,,,,,,,,,,,0,4,40,,,,,,,,,,,,,,,QUKE
1,23,L,33.8,9.4,4.2,I,3.5,,FALSE,,40,,,,,,,,,,,,,,0,4.2,60,,,,,,,,,,,,,,,QUKE
1,25,L,33.6,12.4,5,C,6,,FALSE,,60,,,,,,,,,,,,,,0,5,40,,,,,,,,,,,,,,,QUKE
1,26,L,32.6,12.3,4,C,6,,FALSE,,40,,,,,,,,,,,,,,0,4,60,,,,,,,,,,,,,,,QUKE
1,27,L,33.95,12.5,6.5,C,6.5,,FALSE,,60,,,,,,,,,,,,,,0,10.4,40,,,,,,,,,,,,,,,QUKE
1,28,L,39.35,12.4,1.4,C,4.5,,FALSE,,90,,,,,,,,,,,,,,0,2.5,10,,,,,,,,,,,,,,,QUKE
1,29,L,39.5,9,2,I,3.5,,FALSE,,90,,,,,,,,,,,,,,0.85,3,5,,,,,,,,,,,,,,,QUKE
1,30,D,,,,,,,FALSE,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Gone.,,,,QUKE
1,31,L,21.2,4.8,,I,1.5,,FALSE,,50,,,,,,,,,,,,,,0.6,2.5,50,,,,,,,,,,,,,,,PIJE
1,32,D,11.25,2,,,,1,FALSE,,,,,,,,,,,,,,,,0.84,2,100,,,,,,,,,,,,,,,PIJE
1,33,D,47.2,2.1,,,,1,FALSE,,,,,,,,,,,,,,,,2.02,,,,,,,,,,,,,,,,,QUKE
1,34,D,,,,,,,FALSE,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,Gone.,,,,QUKE
1,35,L,14.8,7,3.5,I,0.75,,FALSE,,30,,,,,,,,,,,,,,1.48,3.5,69,,,,,,,,,,,,,,,PIJE
1,36,L,40.5,11.8,6.2,C,3.75,,FALSE,,50,,,,,,,,,,,,,,1.73,6.2,45,,,,,,,,,,,,,,,QUKE
1,37,D,12.1,5.2,,,,,FALSE,,,,,,,,,,,,,,,,0.82,5.2,95,,,,,,,,,,,,,,,PIJE
