SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,501,L,28.85,9,2.4,C,1.5,,FALSE,,100,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,QUKE_TSE,3,0.1,,PIJE
1,507,L,33,16.8,6,C,1.6,,FALSE,,90,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,QUKE_TSE,0.5,5,,PIJE
1,508,L,30.2,15.2,7,C,1.25,,FALSE,,70,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,QUKE_TSE,0.7,6.5,,PIJE
1,509,L,41.15,18.2,7.2,C,2.3,,FALSE,,70,,,,,,,,,,,,,,1,,,,,,,,,,,,,PIJE_TOV,2,7.2,,PIJE
1,510,L,43.95,18.4,5.4,C,1.5,,FALSE,,90,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,PIJE_TOV,2.5,4.3,,PIJE
1,511,L,94,7.4,1,I,5,,FALSE,,80,,,,,,,,,,,,,,0,,,,,,,,,,,,,QUKE_TOV,0,1,,QUKE
1,512,L,86.3,15.6,1.3,I,1.5,,FALSE,,30,,,,,,,,,,,,,,0,,,,,,,,,,,,,QUKE_TOV,0,1,,QUKE
1,513,L,33.19,11.4,6,C,2,,FALSE,,90,,,,,,,,,,,,,,0,,,,,,,,,,,,,ERCO_SL,0.05,3.5,,PIJE
