SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,2,L,19.15,8,1.3,C,2.9,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,3,L,10.45,6.4,1.4,I,1.75,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,4,L,9.75,5.8,1.8,I,2,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,6,L,16.1,8.5,2,C,2.4,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,7,L,11.9,5.6,2,S,1.25,,FALSE,,90,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,PIJE
1,8,L,101.2,6.4,1.1,C,6.5,,FALSE,,80,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,9,L,64.6,10.4,0.5,C,5,,FALSE,,70,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,11,L,8,3.9,0.9,S,1,,FALSE,,90,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,PIJE
1,12,L,12.6,7.2,3,I,2,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,13,L,8.2,6,1,I,1,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,14,L,11.1,7,2,I,1.25,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,15,L,17.35,9,1.2,C,3.5,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,16,D,41.3,7.6,,,,2,FALSE,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,PIJE
1,17,L,17.4,8,2.1,I,1.5,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,18,L,8.3,3,1.2,S,0.6,,FALSE,,90,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,19,L,15.05,6,1.2,I,1.75,,FALSE,,60,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,20,L,14.35,8.2,3.2,C,2.25,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
