SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,975,L,50.55,9.8,1,I,3.5,,FALSE,,40,,,,,,,,,,,,,,0,,,,,,,,,,,,,ROCA-SM,0,0,,QUKE
1,976,L,37.55,13.4,3.5,C,2.25,,FALSE,,100,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,QUKE-TOV,1.5,0.3,,PIJE
1,977,L,41.6,6.5,0.5,S,3,,FALSE,,80,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,PIJE-TOV,1.5,0.1,,QUKE
1,978,L,10.45,5.5,0.9,S,0.9,,FALSE,,100,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,QUKE-TOV,1,2.2,,PIJE
1,979,L,56.65,16.2,2.6,C,5.25,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,QUKE-TOV,0,1.5,,QUKE
1,980,L,71.3,16.3,0.8,C,6,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,QUKE-TOV,0,1,,QUKE
1,981,L,84.9,16.6,1.4,C,5.5,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,QUKE-TOV,0,1,,QUKE
