SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,545,L,61.9,23.2,14.8,C,4,,FALSE,,90,,,,,,,,,,,,,,6,,,,,,,,,,,,,ROCA_SM,0.2,2.1,,PIJE
1,547,D,114.5,12,,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUKE
1,551,L,76.8,27.4,12.6,D,4.75,,FALSE,,90,,,,,,,,,,,,,,2,,,,,,,,,,,,,ROCA_SM,0,2.5,,PIJE
1,552,D,23.9,10,,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIJE
1,554,L,43.75,20.5,10.5,C,1,,FALSE,,80,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,ROCA_SL,0.2,7.5,,PIJE
1,555,L,52.95,23.8,12,C,3.25,,FALSE,,70,,,,,,,,,,,,,,4,,,,,,,,,,,,,ROCA_SL,0.5,6.5,,PIJE
1,556,L,60.2,24.6,10,C,3.5,,FALSE,,90,,,,,,,,,,,,,,5,,,,,,,,,,,,,ROCA_SL,0.4,4,,PIJE
1,557,L,17.2,7.5,4.8,S,0.9,,FALSE,,30,,,,,,,,,,,,,,4,,,,,,,,,,,,,ROCA_SL,0.7,3,,PIJE
1,558,D,14.95,5.6,,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIJE
1,562,L,63.75,23,15,C,2.5,,FALSE,,70,,,,,,,,,,,,,,6,,,,,,,,,,,,,PIJE_TOV,0.3,2,,PIJE
1,563,L,20.45,10.2,6.2,S,1.4,,FALSE,,20,,,,,,,,,,,,,,4,,,,,,,,,,,,,QUKE_TSA,0.3,4,,PIJE
1,565,L,8.5,5.5,0,S,1,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,QUKE_TSA,0.8,4.5,,QUKE
