SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,22,L,42,6.9,1,I,4,,FALSE,,90,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,23,L,33.9,9,1.2,I,3.25,,FALSE,,90,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,25,L,33,12.4,1,C,4.1,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,26,L,32.65,12.3,1.3,C,4,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,27,L,33.8,12.5,1.4,C,4,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,28,L,39.3,12.4,1,C,4.6,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,29,L,39.15,8.4,0.8,I,3.75,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,30,D,29.3,2.8,,,,5,FALSE,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,31,L,20.5,4.5,0.4,I,0.75,,FALSE,,80,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,PIJE
1,32,L,12,4.3,2.1,S,0.6,,FALSE,,80,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,PIJE
1,33,L,57.8,8.5,1.8,C,3.5,,FALSE,,70,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,34,D,32.75,2.8,,,,2,FALSE,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,QUKE
1,35,L,14.1,7,1.4,S,1.75,,FALSE,,90,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,PIJE
1,36,L,40.2,8.5,1.4,C,4.5,,FALSE,,90,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,QUKE
1,37,L,12,6.1,0.4,I,1.6,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,PIJE
