Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,30,,,,,,-2147483648,PIJE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,4,,,,,,-2147483647,QUKE
-2147483646,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,SA,,1,,,,,,-2147483646,PIJE
-2147483645,9b1f7d75-05d8-40a4-b485-f0bb3783c097,L,MD,,8,,,,,,-2147483645,ROCA2
-2147483644,c9c46ddd-bcd1-4a5a-982f-6b14e01bea6a,L,LW,,15,,,,,,-2147483644,ERWR
-2147483643,9b1f7d75-05d8-40a4-b485-f0bb3783c097,L,LW,,0.5,,,,,,-2147483643,ROCA2
-2147483642,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,1,,,,,,-2147483642,SOCA5
-2147483641,830bdd37-d152-4840-8be1-10988f97f45b,L,NA,,0.5,,,,,,-2147483641,GAAN
-2147483640,7ed2bc86-8c02-4923-bc47-dfb92e54f7b5,L,NA,,0.5,,,,,,-2147483640,ARDR4
-2147483639,a424958b-ec47-426b-bee3-42cf086dde01,L,LW,,0.5,,,,,,-2147483639,FRCA12
