Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,40.5,,,,,,-2147483648,QUKE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,D,TO,,2,,,,,,-2147483647,QUKE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,0.5,,,,,,-2147483646,QUKE
-2147483645,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,0.5,,,,,,-2147483645,QUKE
-2147483644,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,14.5,,,,,,-2147483644,PIJE
-2147483643,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,SE,,0.5,,,,,,-2147483643,PIJE
-2147483642,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,SA,,0.5,,,,,,-2147483642,PIJE
-2147483641,138c8278-8635-4bee-b2ee-6162948dac36,L,TL,,3.5,,,,,,-2147483641,CEBE3
-2147483640,138c8278-8635-4bee-b2ee-6162948dac36,L,MD,,0.5,,,,,,-2147483640,CEBE3
-2147483639,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,TL,,5,,,,,,-2147483639,CEPA
-2147483638,c9c46ddd-bcd1-4a5a-982f-6b14e01bea6a,L,LW,,0.5,,,,,,-2147483638,ERWR
-2147483637,7449ab7f-1acd-4716-8c5d-4f6bb348e4ff,L,LW,,0.5,,,,,,-2147483637,SYMO
-2147483636,138c8278-8635-4bee-b2ee-6162948dac36,L,LW,,0.5,,,,,,-2147483636,CEBE3
-2147483635,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,LW,,0.5,,,,,,-2147483635,CEPA
-2147483634,e78cc19f-5c3b-40d0-afcc-55f43d726a65,L,NA,,3.5,,,,,,-2147483634,BRTE
-2147483633,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,0.5,,,,,,-2147483633,SOCA5
-2147483632,3c089654-824c-4a3b-97c3-287efea7de4c,L,NA,,0.5,,,,,,-2147483632,COFI2
