Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,8.5,,,,,,-2147483648,PIJE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,5,,,,,,-2147483647,QUKE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,1,,,,,,-2147483646,QUKE
-2147483645,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,SA,,0.5,,,,,,-2147483645,PIJE
-2147483644,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,0.5,,,,,,-2147483644,QUKE
-2147483643,9b1f7d75-05d8-40a4-b485-f0bb3783c097,L,LW,,1,,,,,,-2147483643,ROCA2
-2147483642,9b1f7d75-05d8-40a4-b485-f0bb3783c097,L,MD,,1,,,,,,-2147483642,ROCA2
-2147483641,c9c46ddd-bcd1-4a5a-982f-6b14e01bea6a,L,LW,,6,,,,,,-2147483641,ERWR
-2147483640,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,MD,,0.5,,,,,,-2147483640,CEPA
-2147483639,af962090-d204-4953-91c6-4a9cc7f1f9a5,L,LW,,0.5,,,,,,-2147483639,ERCO25
-2147483638,8c05246c-bf5c-4d53-9d2f-8751829c726f,D,MD,,0.5,,,,,,-2147483638,CEPA
-2147483637,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,1,,,,,,-2147483637,SOCA5
-2147483636,3559b98c-859b-4e69-beae-7dd890d73e10,L,NA,,0.5,,,,,,-2147483636,ARLU
-2147483635,396f97d2-5983-428f-b96e-eb05d6f7b0a0,L,NA,,0.5,,,,,,-2147483635,LIPU11
