Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,29,,,,,,-2147483648,QUKE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,D,TO,,1,,,,,,-2147483647,QUKE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,5,,,,,,-2147483646,QUKE
-2147483645,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,0.5,,,,,,-2147483645,QUKE
-2147483644,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,4,,,,,,-2147483644,PIJE
-2147483643,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,SE,,0.5,,,,,,-2147483643,PIJE
-2147483642,c9c46ddd-bcd1-4a5a-982f-6b14e01bea6a,L,LW,,2.5,,,,,,-2147483642,ERWR
-2147483641,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,MD,,1.5,,,,,,-2147483641,CEPA
-2147483640,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,TL,,6,,,,,,-2147483640,CEPA
-2147483639,138c8278-8635-4bee-b2ee-6162948dac36,L,TL,,0.5,,,,,,-2147483639,CEBE3
-2147483638,7449ab7f-1acd-4716-8c5d-4f6bb348e4ff,L,LW,,10,,,,,,-2147483638,SYMO
-2147483637,138c8278-8635-4bee-b2ee-6162948dac36,L,MD,,0.5,,,,,,-2147483637,CEBE3
-2147483636,e78cc19f-5c3b-40d0-afcc-55f43d726a65,L,NA,,1.5,,,,,,-2147483636,BRTE
-2147483635,3559b98c-859b-4e69-beae-7dd890d73e10,L,NA,,0.5,,,,,,-2147483635,ARLU
-2147483634,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,0.5,,,,,,-2147483634,SOCA5
