Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,41,,,,,,-2147483648,PIJE
-2147483647,50b2af91-9399-4dda-82e5-6eb0f20b7b96,D,TO,,0.5,,,,,,-2147483647,PIJE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,2,,,,,,-2147483646,QUKE
-2147483645,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,2.5,,,,,,-2147483645,QUKE
-2147483644,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,0.5,,,,,,-2147483644,QUKE
-2147483643,a7bf19df-35ed-4691-8ca5-4e4e2a426665,D,TO,,1,,,,,,-2147483643,QUKE
-2147483642,9b1f7d75-05d8-40a4-b485-f0bb3783c097,L,MD,,2,,,,,,-2147483642,ROCA2
-2147483641,9b1f7d75-05d8-40a4-b485-f0bb3783c097,L,LW,,8,,,,,,-2147483641,ROCA2
-2147483640,9b1f7d75-05d8-40a4-b485-f0bb3783c097,D,LW,,0.5,,,,,,-2147483640,ROCA2
-2147483639,7449ab7f-1acd-4716-8c5d-4f6bb348e4ff,L,LW,,0.5,,,,,,-2147483639,SYMO
-2147483638,af962090-d204-4953-91c6-4a9cc7f1f9a5,L,LW,,0.5,,,,,,-2147483638,ERCO25
-2147483637,c9c46ddd-bcd1-4a5a-982f-6b14e01bea6a,L,LW,,0.5,,,,,,-2147483637,ERWR
-2147483636,138c8278-8635-4bee-b2ee-6162948dac36,L,TL,,0.5,,,,,,-2147483636,CEBE3
-2147483635,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,0.5,,,,,,-2147483635,SOCA5
-2147483634,3559b98c-859b-4e69-beae-7dd890d73e10,L,NA,,0.5,,,,,,-2147483634,ARLU
-2147483633,830bdd37-d152-4840-8be1-10988f97f45b,L,NA,,0.5,,,,,,-2147483633,GAAN
