Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,5,,,,,,-2147483648,QUKE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,3,,,,,,-2147483647,QUKE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,2,,,,,,-2147483646,QUKE
-2147483645,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,55,,,,,,-2147483645,PIJE
-2147483644,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,SE,,0.5,,,,,,-2147483644,PIJE
-2147483643,9b1f7d75-05d8-40a4-b485-f0bb3783c097,L,MD,,8,,,,,,-2147483643,ROCA2
-2147483642,a0551995-d201-4a9a-a27e-04535aefd279,L,MD,,0.5,,,,,,-2147483642,AMUT
-2147483641,af962090-d204-4953-91c6-4a9cc7f1f9a5,L,LW,,0.5,,,,,,-2147483641,ERCO25
-2147483640,396f97d2-5983-428f-b96e-eb05d6f7b0a0,L,NA,,1.5,,,,,,-2147483640,LIPU11
-2147483639,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,0.5,,,,,,-2147483639,SOCA5
-2147483638,830bdd37-d152-4840-8be1-10988f97f45b,L,NA,,0.5,,,,,,-2147483638,GAAN
