Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,33,,,,,,-2147483648,QUKE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,4,,,,,,-2147483647,QUKE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,0.5,,,,,,-2147483646,QUKE
-2147483645,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,2,,,,,,-2147483645,PIJE
-2147483644,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,SA,,0.5,,,,,,-2147483644,PIJE
-2147483643,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,SE,,0.5,,,,,,-2147483643,PIJE
-2147483642,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,0.5,,,,,,-2147483642,QUKE
-2147483641,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,MD,,0.5,,,,,,-2147483641,CEPA
-2147483640,c9c46ddd-bcd1-4a5a-982f-6b14e01bea6a,L,LW,,13.5,,,,,,-2147483640,ERWR
-2147483639,7449ab7f-1acd-4716-8c5d-4f6bb348e4ff,L,LW,,9,,,,,,-2147483639,SYMO
-2147483638,64bea1ee-8552-4023-b18a-c4dac7c98c9d,L,MD,,0.5,,,,,,-2147483638,PRVID
-2147483637,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,LW,,0.5,,,,,,-2147483637,CEPA
-2147483636,64bea1ee-8552-4023-b18a-c4dac7c98c9d,L,LW,,0.5,,,,,,-2147483636,PRVID
-2147483635,138c8278-8635-4bee-b2ee-6162948dac36,D,MD,,0.5,,,,,,-2147483635,CEBE3
-2147483634,e78cc19f-5c3b-40d0-afcc-55f43d726a65,L,NA,,1.5,,,,,,-2147483634,BRTE
-2147483633,2da084e6-47e3-4e9a-b2f1-b5fe41c346ba,L,NA,,0.5,,,,,,-2147483633,THFE
-2147483632,202ad7cf-3b21-4fc1-aa57-500b6ee869e0,L,NA,,0.5,,acmispon,,,,-2147483632,LOTUS
