Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,20,,,,,,-2147483648,PIJE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,28,,,,,,-2147483647,QUKE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,0.5,,,,,,-2147483646,QUKE
-2147483645,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,0.5,,,,,,-2147483645,QUKE
-2147483644,50b2af91-9399-4dda-82e5-6eb0f20b7b96,D,TO,,0.5,,,,,,-2147483644,PIJE
-2147483643,c9c46ddd-bcd1-4a5a-982f-6b14e01bea6a,L,LW,,1,,,,,,-2147483643,ERWR
-2147483642,138c8278-8635-4bee-b2ee-6162948dac36,L,MD,,0.5,,,,,,-2147483642,CEBE3
-2147483641,9b1f7d75-05d8-40a4-b485-f0bb3783c097,L,MD,,2,,,,,,-2147483641,ROCA2
-2147483640,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,10,,,,,,-2147483640,SOCA5
-2147483639,3559b98c-859b-4e69-beae-7dd890d73e10,L,NA,,0.5,,,,,,-2147483639,ARLU
-2147483638,2da084e6-47e3-4e9a-b2f1-b5fe41c346ba,L,NA,,0.5,,,,,,-2147483638,THFE
