Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,38,,,,,,-2147483648,QUKE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,1.5,,,,,,-2147483647,QUKE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,D,TO,,0.5,,,,,,-2147483646,QUKE
-2147483645,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,0.5,,,,,,-2147483645,QUKE
-2147483644,64bea1ee-8552-4023-b18a-c4dac7c98c9d,L,MD,,0.5,,,,,,-2147483644,PRVID
-2147483643,c9c46ddd-bcd1-4a5a-982f-6b14e01bea6a,L,LW,,18,,,,,,-2147483643,ERWR
-2147483642,138c8278-8635-4bee-b2ee-6162948dac36,L,TL,,1,,,,,,-2147483642,CEBE3
-2147483641,138c8278-8635-4bee-b2ee-6162948dac36,L,MD,,0.5,,,,,,-2147483641,CEBE3
-2147483640,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,TL,,1,,,,,,-2147483640,CEPA
-2147483639,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,MD,,0.5,,,,,,-2147483639,CEPA
-2147483638,3559b98c-859b-4e69-beae-7dd890d73e10,L,NA,,0.5,,,,,,-2147483638,ARLU
-2147483637,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,2,,,,,,-2147483637,SOCA5
-2147483636,e78cc19f-5c3b-40d0-afcc-55f43d726a65,L,NA,,1.5,,,,,,-2147483636,BRTE
