Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,28,,,,,,-2147483648,QUKE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,1,,,,,,-2147483647,QUKE
-2147483646,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,18,,,,,,-2147483646,PIJE
-2147483645,9b1f7d75-05d8-40a4-b485-f0bb3783c097,L,MD,,40,,,,,,-2147483645,ROCA2
-2147483644,c9c46ddd-bcd1-4a5a-982f-6b14e01bea6a,L,LW,,0.5,,,,,,-2147483644,ERWR
-2147483643,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,4,,,,,,-2147483643,SOCA5
-2147483642,396f97d2-5983-428f-b96e-eb05d6f7b0a0,L,NA,,1,,,,,,-2147483642,LIPU11
-2147483641,830bdd37-d152-4840-8be1-10988f97f45b,L,NA,,0.5,,,,,,-2147483641,GAAN
