Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,58,,,,,,-2147483648,QUKE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,3,,,,,,-2147483647,QUKE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,1,,,,,,-2147483646,QUKE
-2147483645,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,5,,,,,,-2147483645,PIJE
-2147483644,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,SE,,0.5,,,,,,-2147483644,PIJE
-2147483643,9b1f7d75-05d8-40a4-b485-f0bb3783c097,L,MD,,1,,,,,,-2147483643,ROCA2
-2147483642,7449ab7f-1acd-4716-8c5d-4f6bb348e4ff,L,LW,,29,,,,,,-2147483642,SYMO
-2147483641,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,TL,,0.5,,,,,,-2147483641,CEPA
-2147483640,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,MD,,1,,,,,,-2147483640,CEPA
-2147483639,e78cc19f-5c3b-40d0-afcc-55f43d726a65,L,NA,,1,,,,,,-2147483639,BRTE
-2147483638,16ecbe53-51a4-4dc7-980d-09a2d6676e80,L,NA,,0.5,,,,,,-2147483638,CLARK
