Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,SA,,0.5,,,,,,-2147483648,PIJE
-2147483647,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,10,,,,,,-2147483647,PIJE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,35,,,,,,-2147483646,QUKE
-2147483645,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,2,,,,,,-2147483645,QUKE
-2147483644,a7bf19df-35ed-4691-8ca5-4e4e2a426665,D,TO,,0.5,,,,,,-2147483644,QUKE
-2147483643,7449ab7f-1acd-4716-8c5d-4f6bb348e4ff,L,LW,,20,,,,,,-2147483643,SYMO
-2147483642,9b1f7d75-05d8-40a4-b485-f0bb3783c097,L,MD,,18,,,,,,-2147483642,ROCA2
-2147483641,64bea1ee-8552-4023-b18a-c4dac7c98c9d,L,MD,,1.5,,,,,,-2147483641,PRVID
-2147483640,138c8278-8635-4bee-b2ee-6162948dac36,L,MD,,0.5,,,,,,-2147483640,CEBE3
-2147483639,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,0.5,,,,,,-2147483639,QUKE
-2147483638,64bea1ee-8552-4023-b18a-c4dac7c98c9d,L,TL,,1,,,,,,-2147483638,PRVID
-2147483637,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,SE,,0.5,,,,,,-2147483637,PIJE
-2147483636,3559b98c-859b-4e69-beae-7dd890d73e10,L,NA,,1.5,,,,,,-2147483636,ARLU
-2147483635,37261907-6c01-4af6-920c-8cf27739d81f,L,NA,,0.5,,,,,,-2147483635,PERO10
-2147483634,830bdd37-d152-4840-8be1-10988f97f45b,L,NA,,0.5,,,,,,-2147483634,GAAN
