Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,17,,,,,,-2147483648,PIJE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,11,,,,,,-2147483647,QUKE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,2,,,,,,-2147483646,QUKE
-2147483645,50b2af91-9399-4dda-82e5-6eb0f20b7b96,D,TO,,0.5,,,,,,-2147483645,PIJE
-2147483644,a7bf19df-35ed-4691-8ca5-4e4e2a426665,D,TO,,0.5,,,,,,-2147483644,QUKE
-2147483643,138c8278-8635-4bee-b2ee-6162948dac36,L,MD,,0.5,,,,,,-2147483643,CEBE3
-2147483642,138c8278-8635-4bee-b2ee-6162948dac36,L,TL,,0.5,,,,,,-2147483642,CEBE3
-2147483641,c9c46ddd-bcd1-4a5a-982f-6b14e01bea6a,L,LW,,0.5,,,,,,-2147483641,ERWR
-2147483640,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,0.5,,,,,,-2147483640,QUKE
-2147483639,e78cc19f-5c3b-40d0-afcc-55f43d726a65,L,NA,,8,,,,,,-2147483639,BRTE
-2147483638,3559b98c-859b-4e69-beae-7dd890d73e10,L,NA,,1,,,,,,-2147483638,ARLU
-2147483637,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,1,,,,,,-2147483637,SOCA5
