Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,35,,,,,,-2147483648,PIJE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,3,,,,,,-2147483647,QUKE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,0.5,,,,,,-2147483646,QUKE
-2147483645,a7bf19df-35ed-4691-8ca5-4e4e2a426665,D,TO,,0.5,,,,,,-2147483645,QUKE
-2147483644,9b1f7d75-05d8-40a4-b485-f0bb3783c097,L,LW,,0.5,,,,,,-2147483644,ROCA2
-2147483643,9b1f7d75-05d8-40a4-b485-f0bb3783c097,L,MD,,8,,,,,,-2147483643,ROCA2
-2147483642,c9c46ddd-bcd1-4a5a-982f-6b14e01bea6a,L,LW,,1.5,,,,,,-2147483642,ERWR
-2147483641,138c8278-8635-4bee-b2ee-6162948dac36,L,TL,,1,,,,,,-2147483641,CEBE3
-2147483640,138c8278-8635-4bee-b2ee-6162948dac36,L,MD,,0.5,,,,,,-2147483640,CEBE3
-2147483639,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,MD,,0.5,,,,,,-2147483639,CEPA
-2147483638,7449ab7f-1acd-4716-8c5d-4f6bb348e4ff,L,MD,,4,,,,,,-2147483638,SYMO
-2147483637,138c8278-8635-4bee-b2ee-6162948dac36,L,MD,,0.5,,,,,,-2147483637,CEBE3
-2147483636,9b1f7d75-05d8-40a4-b485-f0bb3783c097,L,TL,,0.5,,,,,,-2147483636,ROCA2
-2147483635,af962090-d204-4953-91c6-4a9cc7f1f9a5,L,LW,,0.5,,,,,,-2147483635,ERCO25
-2147483634,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,1,,,,,,-2147483634,SOCA5
-2147483633,d7908a0e-2e26-4c74-89fb-d9bf4d991719,L,NA,,0.5,,,,,,-2147483633,POA
-2147483632,cee1eebd-90b7-40d6-b8d7-d8b327c7407a,L,NA,,2,,,,,,-2147483632,LUPIN
