Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,26,,,,,,-2147483648,PIJE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,2,,,,,,-2147483647,QUKE
-2147483646,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,2.5,,,,,,-2147483646,QUKE
-2147483645,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,SE,,0.5,,,,,,-2147483645,PIJE
-2147483644,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,0.5,,,,,,-2147483644,QUKE
-2147483643,9b1f7d75-05d8-40a4-b485-f0bb3783c097,L,MD,,7,,,,,,-2147483643,ROCA2
-2147483642,c9c46ddd-bcd1-4a5a-982f-6b14e01bea6a,L,LW,,2,,,,,,-2147483642,ERWR
-2147483641,a0551995-d201-4a9a-a27e-04535aefd279,L,TL,,3,,,,,,-2147483641,AMUT
-2147483640,a0551995-d201-4a9a-a27e-04535aefd279,L,MD,,0.5,,,,,,-2147483640,AMUT
-2147483639,64bea1ee-8552-4023-b18a-c4dac7c98c9d,L,TL,,0.5,,,,,,-2147483639,PRVID
-2147483638,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,2.5,,,,,,-2147483638,SOCA5
-2147483637,3559b98c-859b-4e69-beae-7dd890d73e10,L,NA,,1,,,,,,-2147483637,ARLU
-2147483636,d2714253-d146-4a07-baee-14d032cacae4,L,NA,,0.5,,,,,,-2147483636,ASTRA
